Efra.gene14059_i2_length1041.p1		50114.397	16438.852899999998	206266.39599999998	177093.938	79065.51770000001	273274.07950000005	259125.33099999998	333434.3190000001	195089.4069	230938.55870000002	427718.86699999997	196271.94889999996	267754.0908	268791.6649999999	-32.0	157216.4237	352434.49299999996	518445.9360000001	324556.9877999999
Efra.gene14246_i0_length1029.p1		14724.409	4055.947																	
Efra.gene14418_i2_length1020.p1									25079.0533	10724.2657	60736.276	59675.857	96120.609	39690.437000000005	137353.37700000004		6926.5114		23094.885	9726.9288
Efra.gene14678_i0_length1005.p1	56693.152																			
Efra.gene15484_i0_length963.p1			11549.421																	
Efra.gene15574_i0_length957.p1	24866.968														31950.756					
Efra.gene16498_i0_length912.p1	1003184.545	475929.8758000001	641107.7215999999	211115.32259999998	148104.82330000002	43097.3812	143835.2245	298135.326	216010.3823	198854.181	138151.85359999997	180524.60420000003	282149.245	164007.7281	256534.3284	-14.0	150075.3139	95386.97389999998	143376.47799999997	300565.78300000005
Efra.gene16536_i2_length909.p1		17438.413	16073.8752	41720.238	3768.698	1632.943	1437.469	15034.758999999998	64450.722	4029.693	7841.715	4383.282999999999	1259.05	3298.512	91380.41		11489.1158		6437.424	7898.472
Efra.gene16539_i1_length909.p1				6127.4146			62490.806699999994						6787.9581	40741.499	230051.135	-3.0	7899.459199999999	21061.171	28621.7829	
Efra.gene17074_i1_length884.p1															5599.644					
Efra.gene17127_i0_length880.p1					108101.0968	35615.392199999995	58770.58040000001	63750.386900000005	264437.83600000007	110261.25410000002	139637.66420000003	210835.61980000001	122243.78099999999	196695.25449999998	318128.313	-37.0	141596.63250000004	73241.22629999998	96915.69500000002	122315.77160000002
Efra.gene17127_i6_length777.p1									220283.5300000001											
Efra.gene17231_i0_length876.p1															19518.033					
Efra.gene17278_i0_length873.p1									4288.469				2075.911	11867.775			1135.936			11911.122
Efra.gene1749_i1_length3021.p1				106437.23300000001	136737.9321		181213.49139999997	44305.6663	250065.35600000003	185453.42899999995	113280.68820000002	269903.4097	300501.2200999999	183929.1417	713546.0190000003	-24.0	147702.4067	333718.57409999997	173477.0746	158056.9419
Efra.gene1749_i7_length714.p1											38170.93860000001								39206.216	
Efra.gene1757_i1_length3015.p1											32262.751	338530.12750000006		67219.56679999999		-17.0				11180.349000000002
Efra.gene17580_i1_length858.p1				13315.215							7637.3002			15860.019	28988.978				10330.48	
Efra.gene17870_i0_length846.p1															5286.488					
Efra.gene18044_i0_length837.p1											26079.434999999998			13575.1778						
Efra.gene18178_i0_length831.p1					31737.289	5410.877	30098.944499999998		33119.308999999994	13217.9715	23303.822	17930.158		123492.12299999999	45378.23	-7.0	14355.994000000002		10161.903999999999	
Efra.gene18440_i0_length819.p1									5269.003									1660.029		
Efra.gene18480_i1_length818.p1	24341.790999999997																			
Efra.gene1853_i0_length2945.p1					86955.718	7902.4400000000005	27726.6139	71710.2396	79029.79999999999	25771.072	63528.69759999999	170782.86700000003	55538.651300000005	93524.427	79658.63500000001	-23.0	25015.414399999998	21246.346000000005	77290.17899999999	48254.31699999999
Efra.gene18564_i2_length720.p1		6033.443	3746.7819	55438.416999999994	63109.662	36198.5059	30763.582	55274.922	65191.73510000001	60425.80900000001	57379.6681	91441.869	51168.1013	107155.95099999999	115788.98700000002	-10.0	40187.0756	31053.138	61353.3758	45232.017
Efra.gene18573_i0_length813.p1															11972.001					
Efra.gene18607_i0_length813.p1		20970.166000000005																		
Efra.gene19055_i1_length792.p1			1630.244									2383.176								
Efra.gene19206_i0_length786.p1									4145.651											6289.884
Efra.gene19250_i1_length786.p1							1816.067					2856.397								
Efra.gene19494_i1_length774.p1	4966.407					1216.27														
Efra.gene19598_i0_length771.p1									8223.195		1405.055		5062.3108999999995		7905.34			977.478		
Efra.gene19992_i0_length618.p1							86114.53000000001		72699.78799999999			68836.878						27331.36		
