N	Unused	Accession	n	gFDR*k
1367	0.06	RRRRR_sp|Q9H799|CPLN1_HUMAN	120	8.778346745
1368	0.06	RRRRR_sp|Q8WXX0|DYH7_HUMAN	121	8.845029240
1369	0.06	RRRRR_sp|Q5TCS8|KAD9_HUMAN	122	8.911614317
1371	0.06	RRRRR_sp|P26640|SYVC_HUMAN	123	8.971553611
1376	0.06	RRRRR_sp|Q92698|RAD54_HUMAN	124	9.011627907
1379	0.06	RRRRR_sp|Q8N271|PROM2_HUMAN	125	9.064539521
1380	0.06	RRRRR_sp|Q9NXW9|ALKB4_HUMAN	126	9.130434783
1384	0.06	RRRRR_sp|Q7Z4L5|TT21B_HUMAN	127	9.176300578
1388	0.06	RRRRR_sp|O14917|PCD17_HUMAN	128	9.221902017
1389	0.06	RRRRR_sp|Q9HCE0|EPG5_HUMAN	129	9.287257019
1392	0.06	RRRRR_sp|Q14240|IF4A2_HUMAN	130	9.339080460
1393	0.06	RRRRR_sp|Q04726|TLE3_HUMAN	131	9.404163676
1394	0.06	RRRRR_sp|Q6NT76|HMBX1_HUMAN	132	9.469153515
1395	0.06	RRRRR_sp|O76038|SEGN_HUMAN	133	9.534050179
1398	0.06	RRRRR_sp|P57071|PRD15_HUMAN	134	9.585121602
1402	0.06	RRRRR_sp|O60825|F262_HUMAN	135	9.629101284
1404	0.06	RRRRR_sp|P13489|RINI_HUMAN	136	9.686609687
1408	0.06	RRRRR_sp|Q9H981|ARP8_HUMAN	137	9.730113636
1409	0.06	RRRRR_sp|Q9H6V9|LDAH_HUMAN	138	9.794180270
1410	0.06	RRRRR_sp|Q49MG5|MAP9_HUMAN	139	9.858156028
1411	0.06	RRRRR_sp|P0DPD8|EFCE2_HUMAN	140	9.922041106
1414	0.06	RRRRR_sp|Q92759|TF2H4_HUMAN	141	9.971711457
1417	0.05	RRRRR_sp|P11532|DMD_HUMAN	142	10.021171489
1418	0.05	RRRRR_sp|Q96RR1|PEO1_HUMAN	143	10.084626234
1420	0.05	RRRRR_sp|A0PJE2|DHR12_HUMAN	144	10.140845070
1421	0.05	RRRRR_sp|Q9NQX3|GEPH_HUMAN	145	10.204081633
1422	0.05	RRRRR_sp|Q96RW7|HMCN1_HUMAN	146	10.267229255
1424	0.05	RRRRR_sp|Q9ULL1|PKHG1_HUMAN	147	10.323033708
1427	0.05	RRRRR_sp|Q9NY61|AATF_HUMAN	148	10.371408549
1429	0.05	RRRRR_sp|Q9Y618|NCOR2_HUMAN	149	10.426871938
1430	0.05	RRRRR_sp|Q7Z7G8|VP13B_HUMAN	150	10.489510490
1434	0.05	RRRRR_sp|P25940|CO5A3_HUMAN	151	10.529986053
1442	0.05	RRRRR_sp|Q8N3D4|EH1L1_HUMAN	152	10.540915395
1447	0.05	RRRRR_sp|Q8WWL2|SPIR2_HUMAN	153	10.573600553
1448	0.05	RRRRR_sp|Q8N9W5|DAAF3_HUMAN	154	10.635359116
1449	0.05	RRRRR_sp|O94972|TRI37_HUMAN	155	10.697032436
1452	0.05	RRRRR_sp|Q96CP6|ASTRA_HUMAN	156	10.743801653
1453	0.05	RRRRR_sp|Q8WYQ5|DGCR8_HUMAN	157	10.805230557
1454	0.05	RRRRR_sp|Q13217|DNJC3_HUMAN	158	10.866574966
1455	0.05	RRRRR_sp|A2RTY3|HEAT9_HUMAN	159	10.927835052
1457	0.05	RRRRR_sp|P57075|UBS3A_HUMAN	160	10.981468771
1458	0.05	RRRRR_sp|O43615|TIM44_HUMAN	161	11.042524005
1459	0.05	RRRRR_sp|Q9BTK2|YX002_HUMAN	162	11.103495545
1461	0.05	RRRRR_sp|A0A0B4J275|TVA17_HUMAN	163	11.156741958
1468	0.05	RRRRR_sp|P61129|ZC3H6_HUMAN	164	11.171662125
1469	0.05	RRRRR_sp|P03372|ESR1_HUMAN	165	11.232130701
1473	0.05	RRRRR_sp|P36957|ODO2_HUMAN	166	11.269517990
1474	0.05	RRRRR_sp|P27658|CO8A1_HUMAN	167	11.329715061
